,name,link,company,salary_min,salary_max,currency,source
1555,Разработчик Python/Go,https://korolev.hh.ru/vacancy/35425505?query=python,"ПАО МегаФон, IT",NaN,NaN,NaN,hh.ru
1556,C++ Программист (Dialogue Analytics),https://korolev.hh.ru/vacancy/36736992?query=python, ЦРТ | Группа компаний,NaN,NaN,NaN,hh.ru
1557,Инженер по разработке программного обеспечения,https://korolev.hh.ru/vacancy/37026718?query=python," Терра, Управляющая компания",,,,hh.ru
1558,Аналитик данных (рекламная монетизация),https://korolev.hh.ru/vacancy/37028535?query=python, Авито,NaN,NaN,NaN,hh.ru
1559,Программист web-front-end,https://korolev.hh.ru/vacancy/36665736?query=python,АО РТИ,NaN,NaN,NaN,hh.ru
1560,Разработчик FPGA (ПЛИС),https://korolev.hh.ru/vacancy/37038932?query=python, НТЦ Метротек,,,,hh.ru
1561,"Research Developer (Linux, C, C++)",https://korolev.hh.ru/vacancy/36630931?query=python, Лаборатория Касперского,NaN,NaN,NaN,hh.ru
1562,QA Engineer,https://korolev.hh.ru/vacancy/35075152?query=python, AIPeople,NaN,NaN,NaN,hh.ru
1563,Системный администратор,https://korolev.hh.ru/vacancy/36655493?query=python,ООО ГРАН ЛИМИТЕД,,,,hh.ru
1564,QA Engineer,https://korolev.hh.ru/vacancy/36562428?query=python, OZON.ru Разработка,NaN,NaN,NaN,hh.ru
1565,Разработчик FPGA (ПЛИС),https://korolev.hh.ru/vacancy/37038925?query=python, НТЦ Метротек,,,,hh.ru
1566,ML engineer,https://korolev.hh.ru/vacancy/37029032?query=python, Университет Иннополис,NaN,NaN,NaN,hh.ru
1567,ML engineer,https://korolev.hh.ru/vacancy/37029033?query=python, Университет Иннополис,NaN,NaN,NaN,hh.ru
1568,ML engineer,https://korolev.hh.ru/vacancy/37029034?query=python, Университет Иннополис,NaN,NaN,NaN,hh.ru
1569,ML engineer,https://korolev.hh.ru/vacancy/37029035?query=python, Университет Иннополис,NaN,NaN,NaN,hh.ru
1570,Старший Web-аналитик,https://korolev.hh.ru/vacancy/36598270?query=python, OZON.ru Коммерция,NaN,NaN,NaN,hh.ru
1571,Инженер по нагрузочному тестированию,https://korolev.hh.ru/vacancy/37024934?query=python,АО РТ Лабс,NaN,NaN,NaN,hh.ru
1572,Разработчик C++ (Backend),https://korolev.hh.ru/vacancy/36319843?query=python, GS Group. GS Labs,NaN,NaN,NaN,hh.ru
1573,Программист/web-разработчик (backend/frontend),https://korolev.hh.ru/vacancy/37032400?query=python,ООО Креатив,,,,hh.ru
1574,Руководитель направления информационной безопасности,https://korolev.hh.ru/vacancy/37034738?query=python,АО ВРБ,200000,NaN,руб.,hh.ru
1575,Python разработчик SberDevices,https://korolev.hh.ru/vacancy/36286016?query=python, Сбербанк для начинающих,NaN,NaN,NaN,hh.ru
1576,Инженер по тестированию Android-приложений,https://korolev.hh.ru/vacancy/33948425?query=python, ВКонтакте,NaN,NaN,NaN,hh.ru
1577,Junior automation QA,https://korolev.hh.ru/vacancy/37033585?query=python,ООО ИТС Партнёр,NaN,NaN,NaN,hh.ru
1578,Middle Python Developer,https://korolev.hh.ru/vacancy/34470519?query=python, DataArt,NaN,NaN,NaN,hh.ru
1579,Middle Python Developer,https://korolev.hh.ru/vacancy/34470521?query=python, DataArt,NaN,NaN,NaN,hh.ru
1580,Middle Python Developer,https://korolev.hh.ru/vacancy/34470523?query=python, DataArt,NaN,NaN,NaN,hh.ru
1581,Middle Python Developer,https://korolev.hh.ru/vacancy/34470526?query=python, DataArt,NaN,NaN,NaN,hh.ru
1582,Middle Python Developer,https://korolev.hh.ru/vacancy/34907549?query=python, DataArt,NaN,NaN,NaN,hh.ru
1583,Middle Python Developer,https://korolev.hh.ru/vacancy/34907970?query=python, DataArt,NaN,NaN,NaN,hh.ru
1584,Middle Data Analyst,https://korolev.hh.ru/vacancy/36955295?query=python, Adhack.io,NaN,NaN,NaN,hh.ru
1585,Специалист сектора операционной эффективности ресурсов,https://korolev.hh.ru/vacancy/36971693?query=python, Тинькофф,NaN,NaN,NaN,hh.ru
1586,Разработчик мобильных приложений Flutter / Dart,https://korolev.hh.ru/vacancy/37031078?query=python,ООО Байкал-Веб,25000,NaN,руб.,hh.ru
1587,Веб аналитик,https://korolev.hh.ru/vacancy/36991060?query=python, BETCITY,NaN,NaN,NaN,hh.ru
1588,Rigger/Риггер,https://korolev.hh.ru/vacancy/37023233?query=python," Продюсерский центр Рики, Смешарики",NaN,NaN,NaN,hh.ru
1589,Программист-алгоритмист по обработке изображений и компьютерному зрению,https://korolev.hh.ru/vacancy/37024357?query=python, Spice Agency,NaN,NaN,NaN,hh.ru
1590,DevOps Engineer,https://korolev.hh.ru/vacancy/36896273?query=python,ООО Carprice,NaN,NaN,NaN,hh.ru
1591,Разработчик C (UEFI/Linux),https://korolev.hh.ru/vacancy/37021249?query=python,АО «Крафтвэй корпорэйшн ПЛС»,120000,NaN,руб.,hh.ru
1592,Big Data engineer/DWH в Рекламные технологии,https://korolev.hh.ru/vacancy/36339540?query=python," Mail.Ru Group, Другое",NaN,NaN,NaN,hh.ru
1593,Data Engineering Manager,https://korolev.hh.ru/vacancy/30262599?query=python, Wrike,NaN,NaN,NaN,hh.ru
1594,Старший специалист по машинному обучению / Data Scientist,https://korolev.hh.ru/vacancy/36720177?query=python, Ситимобил,NaN,NaN,NaN,hh.ru
1595,DevOps Engineer,https://korolev.hh.ru/vacancy/32944252?query=python, RBK.money,NaN,NaN,NaN,hh.ru
1596,Ведущий С++ программист (разработка и развитие систем локализации),https://korolev.hh.ru/vacancy/37024864?query=python,ООО Когнитив Роботикс,NaN,180000,руб.,hh.ru
1597,Ведущий программист JS,https://korolev.hh.ru/vacancy/37036194?query=python,ООО Тензор,160000,245000,руб.,hh.ru
1598,Data Scientist,https://korolev.hh.ru/vacancy/37024397?query=python, Strategy Partners Group,NaN,NaN,NaN,hh.ru
1599,DevOps-инженер,https://korolev.hh.ru/vacancy/36655469?query=python, АКАДО Телеком,NaN,NaN,NaN,hh.ru
1600,Программист 1С,https://korolev.hh.ru/vacancy/33592962?query=python,АО АРБИС,,,,hh.ru
1601,Ведущий инженер телефонии (VoIP),https://korolev.hh.ru/vacancy/37037972?query=python, CarMoney,NaN,NaN,NaN,hh.ru
1602,Data engineer,https://korolev.hh.ru/vacancy/37033434?query=python," «РОСБАНК, Societe Generale Group», с опытом работы",NaN,NaN,NaN,hh.ru
1603,Ведущий инженер телефонии (VoIP),https://korolev.hh.ru/vacancy/37037951?query=python, CarMoney,NaN,NaN,NaN,hh.ru
1604,Ведущий инженер телефонии (VoIP),https://korolev.hh.ru/vacancy/37037958?query=python, CarMoney,NaN,NaN,NaN,hh.ru
1605,Ведущий инженер телефонии (VoIP),https://korolev.hh.ru/vacancy/37037945?query=python, CarMoney,NaN,NaN,NaN,hh.ru
1606,Руководитель проектного офиса,https://korolev.hh.ru/vacancy/37038756?query=python,ООО Джи Эф Си,NaN,NaN,NaN,hh.ru
1607,Инженер по тестированию на проект Рамблер/Рекомендации,https://korolev.hh.ru/vacancy/35773294?query=python, Rambler Group,NaN,NaN,NaN,hh.ru
1608,DevOps инженер,https://korolev.hh.ru/vacancy/32467411?query=python, Екассир,100000,NaN,руб.,hh.ru
1609,Стажер в направление java разработка,https://korolev.hh.ru/vacancy/33653978?query=python,"ПАО МегаФон, IT",,,,hh.ru
1610,Разработчик ETL (ЕИСЖС),https://korolev.hh.ru/vacancy/35786436?query=python,АО ДОМ.РФ,NaN,NaN,NaN,hh.ru
1611,Системный администратор Unix,https://korolev.hh.ru/vacancy/37034815?query=python, Группа компаний «БПЦ»,NaN,NaN,NaN,hh.ru
1612,Системный администратор,https://korolev.hh.ru/vacancy/37029796?query=python,ООО НГП ИНФОРМ,NaN,30000,руб.,hh.ru
